report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price,priorwk_ad_count,priorwk_wtd_avg_price,prioryr_ad_count,prioryr_wtd_avg_price
04/25/2025,Hawaii,Fruit,Avocados,HASS,No,each,N/A,1.67,1.67,23,1.67,,,,
04/25/2025,Hawaii,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.95,1.95,4,1.95,,,,
04/25/2025,Alaska,Fruit,Avocados,HASS,No,each,N/A,1.25,1.25,9,1.25,,,,
04/25/2025,Alaska,Fruit,Avocados,Hass-Marked Small,No,each,N/A,1.79,1.79,1,1.79,,,,
04/25/2025,Alaska,Fruit,Avocados,Hass-Marked Large,No,each,N/A,3,3,11,3,,,,
04/25/2025,National,Fruit,Avocados,HASS,No,each,N/A,,,1898,1.56,1674,1.38,2885,1.34
04/25/2025,National,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,,,80,1.99,14,2.99,619,2.32
04/25/2025,National,Fruit,Avocados,Hass-Marked Small,No,each,N/A,,,297,0.46,139,0.54,72,0.68
04/25/2025,National,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,,,187,3,51,2.91,431,1.98
04/25/2025,National,Fruit,Avocados,Hass-Marked Large,No,each,N/A,,,932,2.28,842,2,178,1.55
04/25/2025,National,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,,,775,1.23,899,1.47,968,1.44
04/25/2025,National,Fruit,Avocados,HASS,Yes,each,N/A,,,290,1.88,109,1.39,494,1.71
04/25/2025,National,Fruit,Avocados,Hass-Marked Large,Yes,each,N/A,,,61,3.5,,,47,2.07
04/25/2025,National,Fruit,Avocados,Hass-Marked Medium,Yes,each,N/A,,,13,1.29,13,1.29,14,1.99
04/25/2025,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.99,2,60,1.54,,,,
04/25/2025,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,1.66,121,1.52,,,,
04/25/2025,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1,1.39,101,1.31,,,,
04/18/2025,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.99,2,832,1.18,,,,
04/18/2025,Northeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.88,1.88,122,1.88,,,,
04/18/2025,Southeast,Fruit,Avocados,HASS,No,each,N/A,1,2,583,1.45,,,,
04/18/2025,Southcentral,Fruit,Avocados,HASS,No,each,N/A,1.25,2.5,79,1.99,,,,
04/18/2025,Southcentral,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.99,2.99,14,2.99,,,,
04/18/2025,Southcentral,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,0.5,65,0.5,,,,
04/18/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2.5,2.5,36,2.5,,,,
04/18/2025,Southcentral,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.88,0.88,75,0.88,,,,
04/18/2025,Southwest,Fruit,Avocados,HASS,No,each,N/A,0.99,1.66,130,1.62,,,,
04/18/2025,Southwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.34,1.59,74,0.57,,,,
04/18/2025,Southwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,2.5,3,51,2.91,,,,
04/18/2025,Southwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,0.99,2.5,443,1.83,,,,
04/18/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.79,1.67,591,1.42,,,,
04/18/2025,Southwest,Fruit,Avocados,HASS,Yes,each,N/A,1.39,1.39,109,1.39,,,,
04/18/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,Yes,each,N/A,1.29,1.29,13,1.29,,,,
04/18/2025,Northwest,Fruit,Avocados,HASS,No,each,N/A,2.5,2.5,6,2.5,,,,
04/18/2025,Northwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2.5,2.5,28,2.5,,,,
04/18/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.88,1.88,22,1.88,,,,
04/18/2025,Hawaii,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,2.63,2.63,4,2.63,,,,
04/18/2025,Alaska,Fruit,Avocados,HASS,No,each,N/A,1.25,1.25,9,1.25,,,,
04/18/2025,National,Fruit,Avocados,HASS,No,each,N/A,,,1674,1.38,2229,1.19,2187,1.3
04/18/2025,National,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,,,14,2.99,190,2.5,395,2.5
04/18/2025,National,Fruit,Avocados,Hass-Marked Small,No,each,N/A,,,139,0.54,676,0.7,137,0.51
04/18/2025,National,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,,,51,2.91,,,77,2.65
04/18/2025,National,Fruit,Avocados,Hass-Marked Large,No,each,N/A,,,842,2,214,1.79,520,1.27
04/18/2025,National,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,,,899,1.47,780,1.42,603,1.16
04/18/2025,National,Fruit,Avocados,HASS,Yes,each,N/A,,,109,1.39,109,1.39,332,1.82
04/18/2025,National,Fruit,Avocados,Hass-Marked Medium,Yes,each,N/A,,,13,1.29,,,,
04/18/2025,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.99,3,44,2.09,,,,
04/18/2025,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,2.5,335,2.13,,,,
04/18/2025,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.89,1.88,89,1.65,,,,
04/11/2025,Northeast,Fruit,Avocados,HASS,No,each,N/A,1,1.5,346,1.18,,,,
04/11/2025,Northeast,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.5,2.5,190,2.5,,,,
04/11/2025,Southeast,Fruit,Avocados,HASS,No,each,N/A,0.78,1.5,598,1.19,,,,
04/11/2025,Southeast,Fruit,Avocados,Hass-Marked Small,No,each,N/A,1.25,1.25,12,1.25,,,,
04/11/2025,Southcentral,Fruit,Avocados,HASS,No,each,N/A,0.5,2,63,1.24,,,,
04/11/2025,Southcentral,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,1.25,328,0.87,,,,
04/11/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.25,2.5,45,2.25,,,,
04/11/2025,Southcentral,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.88,0.88,75,0.88,,,,
04/11/2025,Southwest,Fruit,Avocados,HASS,No,each,N/A,0.66,2.5,539,1.15,,,,
04/11/2025,Southwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,0.99,326,0.51,,,,
04/11/2025,Southwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2,2,55,2,,,,
04/11/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.79,1.67,591,1.42,,,,
04/11/2025,Southwest,Fruit,Avocados,HASS,Yes,each,N/A,1.39,1.39,109,1.39,,,,
04/11/2025,Northwest,Fruit,Avocados,HASS,No,each,N/A,1.25,1.67,327,1.29,,,,
04/11/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.67,1.88,33,1.81,,,,
04/11/2025,Hawaii,Fruit,Avocados,HASS,No,each,N/A,1.67,1.67,23,1.67,,,,
04/11/2025,Hawaii,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,2.63,2.63,4,2.63,,,,
04/11/2025,Alaska,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.67,1.67,11,1.67,,,,
04/11/2025,Alaska,Fruit,Avocados,HASS,Yes,each,N/A,1.58,1.58,3,1.58,,,,
04/11/2025,Alaska,Fruit,Avocados,Hass-Marked Small,Yes,each,N/A,2.29,2.29,1,2.29,,,,
04/11/2025,National,Fruit,Avocados,HASS,No,each,N/A,,,2229,1.19,1560,1.25,2199,1.35
04/11/2025,National,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,,,190,2.5,619,2.5,638,2.3
04/11/2025,National,Fruit,Avocados,Hass-Marked Small,No,each,N/A,,,676,0.7,556,0.63,137,0.51
04/11/2025,National,Fruit,Avocados,Hass-Marked Large,No,each,N/A,,,214,1.79,595,2,1991,1.65
04/11/2025,National,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,,,780,1.42,1885,1.14,1396,1.32
04/11/2025,National,Fruit,Avocados,HASS,Yes,each,N/A,,,109,1.39,664,2.44,507,1.98
04/11/2025,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.99,2,356,1.14,,,,
04/11/2025,Midwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.78,0.78,10,0.78,,,,
04/11/2025,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,1.5,114,1.5,,,,
04/11/2025,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.99,1.88,81,1.73,,,,
04/04/2025,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.75,1.5,373,1.22,,,,
04/04/2025,Northeast,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.5,2.5,224,2.5,,,,
04/04/2025,Northeast,Fruit,Avocados,Various Greenskin Marked Large,No,each,N/A,2.99,2.99,65,2.99,,,,
04/04/2025,Northeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.67,1.88,141,1.85,,,,
04/04/2025,Southeast,Fruit,Avocados,HASS,No,each,N/A,0.78,1.29,496,1.2,,,,
04/04/2025,Southeast,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.5,2.5,366,2.5,,,,
04/04/2025,Southeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.88,1.88,86,1.88,,,,
04/04/2025,Southcentral,Fruit,Avocados,HASS,No,each,N/A,0.99,2.5,141,1.59,,,,
04/04/2025,Southcentral,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.5,2.5,29,2.5,,,,
04/04/2025,Southcentral,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.69,0.99,281,0.74,,,,
04/04/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.67,2.99,166,1.81,,,,
04/04/2025,Southcentral,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.67,0.77,348,0.75,,,,
04/04/2025,Southcentral,Fruit,Avocados,HASS,Yes,each,N/A,2.99,2.99,42,2.99,,,,
04/04/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,Yes,each,N/A,2.5,2.5,9,2.5,,,,
04/04/2025,Southwest,Fruit,Avocados,HASS,No,each,N/A,0.99,3,181,1.36,,,,
04/04/2025,Southwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,0.5,265,0.5,,,,
04/04/2025,Southwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,2,3.5,302,2.93,,,,
04/04/2025,Southwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2,2,53,2,,,,
04/04/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.67,1.67,615,1.31,,,,
04/04/2025,Southwest,Fruit,Avocados,HASS,Yes,each,N/A,1.38,2.5,342,1.81,,,,
04/04/2025,Northwest,Fruit,Avocados,HASS,No,each,N/A,0.99,1.88,160,1.48,,,,
04/04/2025,Northwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.67,1.67,124,1.67,,,,
04/04/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.67,0.98,22,0.78,,,,
04/04/2025,Northwest,Fruit,Avocados,HASS,Yes,each,N/A,3.48,3.48,81,3.48,,,,
04/04/2025,Hawaii,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,2.63,2.63,4,2.63,,,,
04/04/2025,Alaska,Fruit,Avocados,HASS,No,each,N/A,0.99,1.89,11,1.15,,,,
04/04/2025,National,Fruit,Avocados,HASS,No,each,N/A,,,1560,1.25,1984,1.19,4197,1.16
04/04/2025,National,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,,,619,2.5,20,2.19,,
04/04/2025,National,Fruit,Avocados,Various Greenskin Marked Large,No,each,N/A,,,65,2.99,,,,
04/04/2025,National,Fruit,Avocados,Hass-Marked Small,No,each,N/A,,,556,0.63,70,0.5,137,0.5
04/04/2025,National,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,,,302,2.93,17,2,567,1.62
04/04/2025,National,Fruit,Avocados,Hass-Marked Large,No,each,N/A,,,595,2,1087,2.19,698,1.62
04/04/2025,National,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,,,1885,1.14,1395,1.46,706,1.18
04/04/2025,National,Fruit,Avocados,HASS,Yes,each,N/A,,,664,2.44,21,1.75,609,1.71
04/04/2025,National,Fruit,Avocados,Hass-Marked Large,Yes,each,N/A,,,9,2.5,61,3.5,354,2.01
04/04/2025,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.69,1.29,209,0.93,,,,
04/04/2025,Midwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.78,0.78,10,0.78,,,,
04/04/2025,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.25,2.5,252,2.28,,,,
04/04/2025,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.5,1.88,673,0.97,,,,
04/04/2025,Midwest,Fruit,Avocados,HASS,Yes,each,N/A,2.99,2.99,199,2.99,,,,
03/28/2025,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.88,2,699,0.94,,,,
03/28/2025,Northeast,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,2.5,195,2.47,,,,
03/28/2025,Northeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.88,1.88,122,1.88,,,,
03/28/2025,Southeast,Fruit,Avocados,HASS,No,each,N/A,0.79,1.67,177,1.2,,,,
03/28/2025,Southeast,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1,1.25,60,1.19,,,,
03/28/2025,Southeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.88,1.88,86,1.88,,,,
03/28/2025,Southcentral,Fruit,Avocados,HASS,No,each,N/A,0.87,2.5,119,1.31,,,,
03/28/2025,Southcentral,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.49,2.49,14,2.49,,,,
03/28/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.25,2.99,277,2.64,,,,
03/28/2025,Southcentral,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.77,0.88,250,0.83,,,,
03/28/2025,Southwest,Fruit,Avocados,HASS,No,each,N/A,0.33,1.99,520,1.34,,,,
03/28/2025,Southwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,0.5,70,0.5,,,,
03/28/2025,Southwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,2.5,532,1.97,,,,
03/28/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.99,1.88,826,1.49,,,,
03/28/2025,Southwest,Fruit,Avocados,HASS,Yes,each,N/A,1.29,2.5,21,1.75,,,,
03/28/2025,Northwest,Fruit,Avocados,HASS,No,each,N/A,0.78,1.25,296,1.24,,,,
03/28/2025,Northwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2.5,2.5,14,2.5,,,,
03/28/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.67,1.88,44,1.77,,,,
03/28/2025,Northwest,Fruit,Avocados,Hass-Marked Large,Yes,each,N/A,3.5,3.5,61,3.5,,,,
03/28/2025,Hawaii,Fruit,Avocados,HASS,No,each,N/A,1.67,1.67,23,1.67,,,,
03/28/2025,Hawaii,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,2.63,2.63,4,2.63,,,,
03/28/2025,Alaska,Fruit,Avocados,HASS,No,each,N/A,0.99,0.99,9,0.99,,,,
03/28/2025,Alaska,Fruit,Avocados,Hass-Marked Small,No,each,N/A,1.69,1.69,1,1.69,,,,
03/28/2025,Alaska,Fruit,Avocados,Hass-Marked Large,No,each,N/A,3.5,3.5,11,3.5,,,,
03/28/2025,National,Fruit,Avocados,HASS,No,each,N/A,,,1984,1.19,2409,1.16,5325,1.07
03/28/2025,National,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,,,20,2.19,79,2.5,8,1.99
03/28/2025,National,Fruit,Avocados,Hass-Marked Small,No,each,N/A,,,70,0.5,426,0.52,11,0.5
03/28/2025,National,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,,,17,2,214,3,379,2.54
03/28/2025,National,Fruit,Avocados,Hass-Marked Large,No,each,N/A,,,1087,2.19,514,2.64,967,1.47
03/28/2025,National,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,,,1395,1.46,2085,1.06,1102,1.38
03/28/2025,National,Fruit,Avocados,HASS,Yes,each,N/A,,,21,1.75,190,1.88,48,1.73
03/28/2025,National,Fruit,Avocados,Hass-Marked Large,Yes,each,N/A,,,61,3.5,,,354,2.01
03/28/2025,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.87,1.99,173,1.58,,,,
03/28/2025,Midwest,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,1.5,1.5,6,1.5,,,,
03/28/2025,Midwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,2,2,17,2,,,,
03/28/2025,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.99,1.99,9,1.99,,,,
03/28/2025,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.88,1.88,67,1.88,,,,
03/21/2025,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.79,2.5,526,1.14,,,,
03/21/2025,Northeast,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.5,2.5,65,2.5,,,,
03/21/2025,Northeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.39,1.39,122,1.39,,,,
03/21/2025,Southeast,Fruit,Avocados,HASS,No,each,N/A,0.69,1.67,588,1.23,,,,
03/21/2025,Southeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.83,1.39,205,1.06,,,,
03/21/2025,Southcentral,Fruit,Avocados,HASS,No,each,N/A,0.69,2.99,374,0.99,,,,
03/21/2025,Southcentral,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2.49,2.49,14,2.49,,,,
03/21/2025,Southcentral,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,0.98,100,0.6,,,,
03/21/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,2.99,237,2.79,,,,
03/21/2025,Southcentral,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.67,0.88,423,0.72,,,,
03/21/2025,Southwest,Fruit,Avocados,HASS,No,each,N/A,0.33,1.67,96,0.97,,,,
03/21/2025,Southwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,0.5,326,0.5,,,,
03/21/2025,Southwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,3,3,214,3,,,,
03/21/2025,Southwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2.5,2.5,146,2.5,,,,
03/21/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.67,1.67,621,1.43,,,,
03/21/2025,Southwest,Fruit,Avocados,HASS,Yes,each,N/A,2,2.5,154,2.03,,,,
03/21/2025,Northwest,Fruit,Avocados,HASS,No,each,N/A,0.98,1.67,310,1.63,,,,
03/21/2025,Northwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2.5,2.5,131,2.5,,,,
03/21/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.98,2,122,1.33,,,,
03/21/2025,Northwest,Fruit,Avocados,HASS,Yes,each,N/A,1,1.5,36,1.24,,,,
03/21/2025,Alaska,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.49,1.49,11,1.49,,,,
03/21/2025,National,Fruit,Avocados,HASS,No,each,N/A,,,2409,1.16,2309,1.21,6704,1.06
03/21/2025,National,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,,,79,2.5,22,2.31,419,2.44
03/21/2025,National,Fruit,Avocados,Hass-Marked Small,No,each,N/A,,,426,0.52,580,0.42,453,0.46
